product_hs92_code,product_name_short,export_value,import_value,export_rca,pci,cog,distance,density,is_current_export,strategic_score
9010,"Apparatus and equipment for photographic laboratories, n.e.c.",40251508,225565820,0.064493,1.949,0.366,0.818,0.18200000000000005,0,0.3547180000000001
3818,Chemical elements for electronics,25033398,63709625,0.131243,1.821,0.407,0.818,0.18200000000000005,0,0.3314220000000001
8456,Machines for working materials by laser and similar means,34684918,252683244,0.063573,1.916,0.427,0.835,0.16500000000000004,0,0.31614000000000003
8542,Electronic integrated circuits,652211676,3998488501,0.086292,1.532,0.376,0.805,0.19499999999999995,0,0.29873999999999995
5005,Yarn from silk waste,0,1595004,0.0,1.668,0.0,0.824,0.17600000000000005,0,0.29356800000000005
8548,Waste and scrap of batteries,70072003,473651712,0.179036,1.414,0.372,0.802,0.19799999999999995,0,0.27997199999999994
8534,Electronic printed circuits,41781001,337469466,0.084921,1.267,0.335,0.784,0.21599999999999997,0,0.2736719999999999
3705,"Photographic film, developed",4838,121321,0.000184,2.256,0.333,0.879,0.121,0,0.27297599999999994
2919,Phosporic esters,311656,16602693,0.027363,1.793,0.394,0.85,0.15000000000000002,0,0.26895
2934,Nucleic acids and their salts,65071858,108221485,0.165789,1.794,0.349,0.854,0.14600000000000002,0,0.26192400000000005
2935,Sulfonamides,6027255,10066598,0.064844,1.569,0.196,0.834,0.16600000000000004,0,0.2604540000000001
8523,Sound storage media,6992650,73708823,0.019008,1.123,0.216,0.772,0.22799999999999998,0,0.256044
2850,"Hydrides, nitrides, azides, silicides and borides",20461,1886188,0.002466,1.662,0.422,0.849,0.15100000000000002,0,0.250962
8113,Cermets,45653,894432,0.004001,1.891,0.401,0.87,0.13,0,0.24583000000000002
2838,"Fulminates, cyanates and thiocyanates",19084,34357327,0.002635,1.433,0.0,0.829,0.17100000000000004,0,0.24504300000000007
8444,"Machines to extrude, cut manmade textile fibres",79082,11048743,0.006799,1.633,0.366,0.85,0.15000000000000002,0,0.24495000000000003
7220,Flat-rolled products of stainless steel of a width < 600 mm,21218345,64370763,0.357533,1.505,0.471,0.839,0.16100000000000003,0,0.24230500000000002
7221,"Bars of stainless steel, hot-rolled",472147,30099537,0.02728,1.725,0.43,0.86,0.14,0,0.24150000000000005
7002,Glass balls,436181,46875456,0.02847,1.409,0.398,0.829,0.17100000000000004,0,0.24093900000000007
2910,Epoxides,39957,5255914,0.001041,1.563,0.421,0.847,0.15300000000000002,0,0.23913900000000002
9108,"Watch movements, complete",120463,1262283,0.01407,1.597,0.263,0.851,0.14900000000000002,0,0.23795300000000003
2913,Derivatives of aldehydes,0,16450,0.0,1.346,0.0,0.824,0.17600000000000005,0,0.23689600000000008
2911,Acetals and hemiacetals,528019,1290273,0.433775,1.516,0.0,0.845,0.15500000000000003,0,0.23498000000000005
3707,Chemical preparations for photographic uses,377555,10257196,0.004795,1.575,0.292,0.851,0.14900000000000002,0,0.23467500000000002
3914,Ion-exchangers based on polymers,32098,31573361,0.001088,1.493,0.487,0.843,0.15700000000000003,0,0.23440100000000005
9110,"Clock movements, complete, unassembled",31730,149399,0.012708,1.285,0.367,0.819,0.18100000000000005,0,0.23258500000000004
8524,"Tapes, cassettes, records and compact disks",1701320,98405357,0.006704,1.328,0.33,0.825,0.17500000000000004,0,0.23240000000000008
8475,Machines for assembling electric lamps,1602626,22515810,0.030424,1.579,0.478,0.853,0.14700000000000002,0,0.232113
8473,Parts and accessories for office machines,408477534,1222221290,0.197692,1.163,0.348,0.801,0.19899999999999995,0,0.23143699999999995
3702,Photographic film in rolls,426815,3145133,0.023063,1.39,0.303,0.836,0.16400000000000003,0,0.22796000000000002
2908,Derivatives of phenols,387053,2244866,0.054122,1.587,0.278,0.86,0.14,0,0.22218000000000002
2812,Halides of nonmetals,174040,3775715,0.016218,1.581,0.393,0.86,0.14,0,0.22134
8209,"Articles for utensils, of cermet",363672,31985035,0.005206,1.636,0.492,0.865,0.135,0,0.22086
2926,Nitrile-function compounds,10037,18380018,0.000233,1.5,0.522,0.853,0.14700000000000002,0,0.22050000000000003
8103,Tantalum,3155845,56063336,0.324832,1.451,0.408,0.849,0.15100000000000002,0,0.21910100000000005
2921,Amine-function compounds,2513208,95470292,0.019529,1.343,0.473,0.837,0.16300000000000003,0,0.21890900000000005
8457,Machining centers for working metal,953282,43620509,0.009413,1.614,0.438,0.865,0.135,0,0.21789000000000003
9002,Lenses and other optical elements,27798158,39996679,0.143123,1.202,0.406,0.819,0.18100000000000005,0,0.21756200000000006
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,267437954,324290322,0.246811,1.509,0.186,0.857,0.14300000000000002,0,0.215787
8505,Electromagnets,34983973,90828232,0.275292,1.337,0.426,0.839,0.16100000000000003,0,0.21525700000000003
9111,Watch cases and parts,59200,553217,0.006639,1.127,0.272,0.809,0.19099999999999995,0,0.21525699999999995
7506,Nickel plates,971626,45905964,0.041051,1.862,0.395,0.885,0.11499999999999999,0,0.21413
5113,Woven fabrics of coarse animal hair,0,2707,0.0,1.362,0.0,0.843,0.15700000000000003,0,0.21383400000000005
2941,Antibiotics,531093,142276387,0.004332,1.325,0.372,0.839,0.16100000000000003,0,0.21332500000000004
2914,Ketones and quinones,2255074,114994622,0.03007,1.286,0.429,0.835,0.16500000000000004,0,0.21219000000000005
8530,Electric signal and traffic controls,772258,21151376,0.015173,1.264,0.46,0.833,0.16700000000000004,0,0.21108800000000005
7225,"Flat-rolled products of other alloy steel, width > 600 mm",3668634,1091744844,0.009374,1.366,0.417,0.846,0.15400000000000003,0,0.21036400000000005
3701,Photographic plates,1588884,38170223,0.030385,1.237,0.418,0.83,0.17000000000000004,0,0.21029000000000006
9029,Meters,47311408,128555101,0.425751,1.249,0.334,0.832,0.16800000000000004,0,0.20983200000000007
8519,Sound reproducing apparatus,193668,2258845,0.019371,1.134,0.308,0.815,0.18500000000000005,0,0.20979000000000003
9012,"Microscopes, other than optical",116074,11204014,0.002075,1.69,0.367,0.876,0.124,0,0.20956
2848,Phosphides,620075,1292072,0.063311,1.449,0.267,0.857,0.14300000000000002,0,0.20720700000000003
8466,Parts and accessories for metal working machines,18353417,248150753,0.058812,1.308,0.493,0.843,0.15700000000000003,0,0.20535600000000004
9013,Liquid crystal devices,24633772,219893133,0.070016,1.251,0.401,0.836,0.16400000000000003,0,0.205164
8104,Magnesium,902997,6151318,0.034685,1.411,0.346,0.856,0.14400000000000002,0,0.20318400000000003
4904,"Music, printed or in manuscript",5776,310764,0.006285,1.557,0.0,0.87,0.13,0,0.20241
2851,"Inorganic compounds, liquid or compressed air",1314985,2745518,0.063537,1.413,0.267,0.857,0.14300000000000002,0,0.20205900000000002
8471,Computers,1043888827,4099606473,0.181678,1.029,0.361,0.806,0.19399999999999995,0,0.19962599999999994
7226,"Flat-rolled products of other alloy steel, width < 600 mm",1322960,30142659,0.026455,1.33,0.437,0.851,0.14900000000000002,0,0.19817000000000004
2928,Organix derivatives of hydrazine,286570,9074883,0.017773,1.336,0.384,0.852,0.14800000000000002,0,0.19772800000000004
3908,Polyamides,36960616,248078852,0.208579,1.283,0.47,0.846,0.15400000000000003,0,0.197582
7223,Wire of stainless steel,18915887,35585697,0.664618,1.217,0.437,0.838,0.16200000000000003,0,0.19715400000000005
8102,Molybdenum,0,372498,0.0,1.48,0.381,0.868,0.132,0,0.19536
7505,"Nickel bars, wire etc.",265917,31902769,0.004436,1.591,0.477,0.879,0.121,0,0.192511
8449,Machinery to manufacture felt,178610,10348955,0.020142,1.453,0.397,0.868,0.132,0,0.19179600000000002
9016,Balances of a sensitivity < 50 milligram,84052,6752028,0.0118,1.197,0.246,0.84,0.16000000000000003,0,0.19152000000000005
7006,Worked glass,6571174,5776190,0.174893,1.009,0.356,0.812,0.18799999999999994,0,0.18969199999999992
8439,Machinery for making paper,1707386,424545079,0.025898,1.323,0.451,0.857,0.14300000000000002,0,0.18918900000000002
9008,Still image projectors,128345,5029764,0.026874,1.045,0.0,0.819,0.18100000000000005,0,0.18914500000000004
8446,Looms,837521,35312029,0.041086,1.278,0.467,0.852,0.14800000000000002,0,0.18914400000000003
8482,Ball or roller bearings,137239102,487268424,0.361179,1.108,0.455,0.83,0.17000000000000004,0,0.18836000000000006
2907,"Phenols, phenol-alcohols",3882969,42746270,0.071065,1.11,0.364,0.831,0.16900000000000004,0,0.18759000000000006
8454,Machines used in metallurgy,2810470,99068717,0.074231,1.15,0.414,0.837,0.16300000000000003,0,0.18745000000000003
8476,Automatic goods-vending machines,1445395,5992906,0.055163,1.212,0.437,0.846,0.15400000000000003,0,0.18664800000000004
7507,Nickel tubes and pipes,547585,28036534,0.025815,1.402,0.475,0.867,0.133,0,0.186466
9011,Optical microscopes,322685,17755426,0.007898,1.322,0.404,0.859,0.14100000000000001,0,0.18640200000000004
3810,Pickling preparations for metal surfaces,3096747,48387150,0.126801,1.149,0.451,0.838,0.16200000000000003,0,0.18613800000000005
8461,Other machine tools for planing and cutting metals,1052468,24023313,0.030732,1.311,0.497,0.859,0.14100000000000001,0,0.18485100000000002
5910,"Transmission belts or belting, of textile material",140424,12985486,0.016436,1.181,0.471,0.844,0.15600000000000003,0,0.18423600000000004
2920,Esters of other inorganic acids of nonmetals,15012283,18937951,0.728907,1.186,0.432,0.845,0.15500000000000003,0,0.18383000000000002
8508,Vacuum cleaners,3230925,169665320,0.010078,1.192,0.402,0.846,0.15400000000000003,0,0.183568
8460,Machines with grinding stones for finishing metal,1193527,33446348,0.024044,1.237,0.43,0.852,0.14800000000000002,0,0.18307600000000004
3703,Photographic paper,85844,7711511,0.018946,1.211,0.25,0.849,0.15100000000000002,0,0.18286100000000005
8713,Wheelchairs,215147,16537389,0.008752,1.12,0.285,0.837,0.16300000000000003,0,0.18256000000000006
9114,Other clock or watch parts,255592,3823744,0.013957,0.882,0.327,0.794,0.20599999999999996,0,0.18169199999999996
2937,Hormones,34273,40597097,8.6e-05,1.487,0.257,0.879,0.121,0,0.179927
8520,Magnetic tape recorders,319524,11047545,0.01092,1.009,0.341,0.822,0.17800000000000005,0,0.17960200000000004
2924,Carboxyamide-function compounds,24172302,90526365,0.241913,1.237,0.381,0.855,0.14500000000000002,0,0.17936500000000002
8540,"Thermionic, cold cathode or photocathode tubes",671391,3455207,0.029712,1.258,0.458,0.858,0.14200000000000002,0,0.17863600000000002
2931,Other organo-inorganic compounds,2775627,207003614,0.03024,1.187,0.492,0.85,0.15000000000000002,0,0.17805000000000004
2842,Other salts of acids,120672,101754029,0.00376,1.133,0.343,0.843,0.15700000000000003,0,0.17788100000000004
7014,Signaling glassware,3416785,4047832,0.441054,1.177,0.457,0.849,0.15100000000000002,0,0.17772700000000002
2708,Pitch and pitch coke,47189,19603327,0.002774,1.024,0.277,0.827,0.17300000000000004,0,0.17715200000000006
8202,Handsaws,21489989,59707824,0.35069,1.18,0.411,0.85,0.15000000000000002,0,0.17700000000000002
8458,Lathes for removing metal,376235,58288045,0.00516,1.209,0.472,0.855,0.14500000000000002,0,0.17530500000000004
3910,Silicones in primary forms,9004159,110872410,0.093871,1.179,0.528,0.852,0.14800000000000002,0,0.17449200000000004
9006,Photographic cameras,1944240,22279519,0.066223,0.922,0.37,0.811,0.18899999999999995,0,0.17425799999999997
9611,Hand-operated stamps,31414,2623953,0.009528,1.08,0.324,0.839,0.16100000000000003,0,0.17388000000000003
2932,Heterocyclic compounds with oxygen hetero-atom(s) only,1819429,115702156,0.014928,1.173,0.451,0.852,0.14800000000000002,0,0.17360400000000004
9303,Other firearms,2763,3254820,0.000134,1.061,0.336,0.838,0.16200000000000003,0,0.17188200000000003
8529,"Parts of radios, telephones, and T.V.s",271448662,2789970943,0.193412,0.86,0.262,0.801,0.19899999999999995,0,0.17113999999999996
4005,Compounded rubber,62946902,35173033,0.79332,1.028,0.366,0.834,0.16600000000000004,0,0.17064800000000005
