rank,country,eci
1,PCN,0.2929687952135872
2,BRN,0.2921547753437394
3,CXR,0.29206764927429685
4,NRU,0.2918275018184635
5,CYM,0.2907596708452609
6,AGO,0.2907345868868513
7,TUV,0.29055348355548694
8,SGP,0.29052413942206035
9,KOR,0.29045816466922997
10,GNQ,0.2903410166572182
11,JPN,0.29017161029080146
12,CZE,0.29015548332535573
13,AUT,0.2900522295205599
14,FIN,0.2899768793137121
15,SWE,0.28996219474114293
16,DEU,0.2898845318779745
17,RUS,0.2898534839915012
18,TWN,0.2898020470453996
19,ROU,0.28960733368452235
20,CHE,0.2892061233073574
21,OMN,0.28915851639987167
22,SVN,0.28865757951040255
23,BVT,0.28864229312269213
24,MYS,0.28863623707543207
25,AND,0.28842705845565364
26,SVK,0.2884127194669653
27,TCD,0.28840449801248796
28,MNP,0.28839848976979576
29,GBR,0.2881605055731902
30,HKG,0.288115932889757
31,CCK,0.2880386678923342
32,HUN,0.2879246205662291
33,CHN,0.2879132401586488
34,LBR,0.2878822142208362
35,ITA,0.28774850441362126
36,DJI,0.2877450070340954
37,SLE,0.28766803834631927
38,USA,0.2875627723206196
39,CUW,0.28749557820701804
40,THA,0.2874535446543206
41,NOR,0.2873229102611907
42,POL,0.2872437989797833
43,QAT,0.28712607291215925
44,IND,0.2870634338812859
45,BRA,0.2870556379870077
46,FRA,0.2869982017991777
47,SAU,0.28678371562549365
48,ISR,0.28664225836078383
49,COM,0.28663658650819895
50,GIN,0.28649413255225575
51,ARE,0.28639713311223447
52,MLT,0.2863136680485789
53,MAC,0.2862931835180002
54,VNM,0.28616713504518393
55,DNK,0.2861476262024663
56,TUR,0.2860997180543651
57,UKR,0.28605654844419615
58,HRV,0.28601726189202814
59,EST,0.2859685446710145
60,NFK,0.28572095482394827
61,SHN,0.2856319876038374
62,LUX,0.28557920518337565
63,MNG,0.28556770019048466
64,NIU,0.2855444145977956
65,BIH,0.28553425261475873
66,AUS,0.2855177010729858
67,BGR,0.2855025952775617
68,BGD,0.28549728217624654
69,LTU,0.28543155268595466
70,KAZ,0.2853862824754813
71,BDI,0.2853414863726241
72,LBY,0.2852166761272484
73,CAN,0.28518689949791254
74,ISL,0.2850670846260764
75,ZMB,0.2850339011479639
76,TUN,0.2850040471813091
77,SRB,0.2849623692393653
78,BOL,0.28485490555600196
79,BHR,0.284827042419176
80,PRT,0.2847739584011482
81,PAK,0.2845852257813805
82,MSR,0.2845823220997872
83,SWZ,0.2845566781316242
84,ASM,0.2845311783982969
85,BRB,0.28451810856771864
86,BEL,0.2844998010371593
87,IDN,0.2844486081604882
88,TKL,0.2844254640705031
89,URY,0.28442363438272666
90,MHL,0.2843665328733636
91,IRL,0.28431725544976083
92,COD,0.284312933491948
93,PHL,0.2842389089307487
94,KHM,0.28402910905277606
95,KWT,0.2839362049665768
96,SLV,0.28389368304346513
97,PRY,0.28381642124143747
98,LVA,0.2837300947154603
99,COG,0.2836758276160751
100,MUS,0.2836352531471368
101,NLD,0.2835832712540908
102,GIB,0.28350368380379554
103,TCA,0.2833055047468622
104,BLR,0.2832006691642208
105,ERI,0.2831833623283038
106,GAB,0.2831686659710511
107,RWA,0.2830966282672857
108,ESP,0.28298445768712305
109,ETH,0.28268125866910093
110,TGO,0.2824865598329779
111,PRK,0.2824310631760744
112,CAF,0.2824072433746442
113,MWI,0.28239105911620815
114,ATA,0.2822372332290421
115,CIV,0.2821028648230116
116,KGZ,0.2820084762389363
117,LSO,0.2819707130084123
118,SSD,0.281951801009759
119,COL,0.2818040054569045
120,GRC,0.2816716734240898
121,WSM,0.28120371278601664
122,GUY,0.28117877484397136
123,MDA,0.2811494407575772
124,VGB,0.28112313354075774
125,MNE,0.28107981852897174
126,MEX,0.280875864875772
