product_hs92_code,product_name_short,export_value,export_rca,pci,cog
2701,Coal,32822622303,14.172056,-1.816,-0.0
1511,Palm oil,21740433933,41.720264,-1.893,-0.0
7202,Ferroalloys,14346149272,26.787048,-1.099,-0.0
2711,Petroleum gases,8442707061,1.54483,-1.702,-0.0
2603,Copper ore,8012782146,7.443127,-2.0,-0.0
2702,Lignite,7721021272,75.030182,-1.475,-0.0
7501,Nickel mattes,6625696328,43.939236,-1.756,0.0
7219,Flat-rolled products of stainless steel of a width > 600 mm,5312625637,13.879287,1.013,0.0
1519,Stearic acid,4468427246,30.336504,-0.976,0.0
7113,Jewelry of precious metal,4194897282,2.843442,0.315,0.0
6403,Leather footwear,2701713138,4.079386,-0.33,0.0
4703,"Chemical woodpulp, soda or sulfate",2673839502,6.316185,-0.106,0.0
7218,Stainless steel in ingots,2665189148,43.720562,1.205,0.0
2306,Solid vegetable oil and fat residues,2498367401,17.198563,-0.882,0.0
4001,Natural rubber,2434102179,15.726538,-1.937,-0.0
6404,Textile footwear,2222211102,4.338596,-0.457,0.0
4802,Paper used for graphic purposes,2097071529,13.589218,0.652,0.0
1513,Coconut & palm kernel oil,1974385913,28.378319,-1.228,0.0
7112,Scrap of precious metal,1933905972,7.628553,-0.253,0.0
8543,Electrical machines with individual functions n.e.c.,1811665621,2.393802,1.43,0.0
8001,Unwrought tin,1766751453,27.75647,-1.213,0.0
4011,New pneumatic tires of rubber,1758533633,1.535751,0.355,0.0
1517,Margarine,1652270783,16.15173,-0.859,-0.0
4412,Plywood,1651862588,8.554993,-0.829,0.0
7207,Semifinished products of iron or nonalloy steel,1524136199,4.347435,-1.008,0.0
1516,"Vegetable fats, hydrogenated",1207326609,17.148161,-1.218,0.0
8528,Monitors and projectors,1205792519,1.408776,0.419,0.0
8711,Motorcycles,1183023656,2.513974,0.289,0.0
1605,Prepared aquatic invertibrates,1182628066,5.278049,-1.556,-0.0
7403,Refined copper and copper alloys,1149103794,1.142551,-1.48,0.0
8714,Parts of motorcycles or wheelchairs,1131637551,3.982986,0.663,0.0
0306,Crustaceans,1109049507,3.539118,-1.792,-0.0
2402,Cigars and cigarettes,1072465407,3.474074,-0.887,-0.0
6110,"Sweaters, pullovers, sweatshirts etc., knit",948461916,1.319302,-1.251,0.0
6204,Women's suits and pants,939337625,1.096914,-1.166,0.0
2713,Petroleum coke,917184578,2.920073,-0.864,0.0
6402,Other footwear of rubber or plastics,896604871,1.659966,-0.985,0.0
0901,Coffee,875594196,1.850586,-1.411,-0.0
1905,Bakery products,847500975,1.354218,-0.271,0.0
3401,Soap,833456521,8.351328,-1.039,-0.0
6104,"Women's suits, knit",830635795,1.861479,-1.464,0.0
4803,Tissue,795803013,13.001377,-0.84,0.0
4702,"Chemical woodpulp, dissolving grade",791024138,11.241961,0.056,0.0
6203,Men's suits and pants,780380686,1.352974,-1.207,-0.0
2818,Aluminum oxide,760249595,3.826095,-0.493,0.0
8905,"Special function vessels, n.e.c.",752018309,2.962256,-1.154,0.0
2814,Ammonia,730795827,8.730855,-1.1,0.0
0304,Fish fillets,724810161,2.382468,-1.216,-0.0
7408,Copper wire,709567710,2.2925,-0.575,0.0
1520,Glycerol,701611601,22.174494,-0.229,0.0
0307,Molluscs,625167684,4.560023,-1.408,-0.0
0410,"Edible animal products, n.e.c.",621198414,49.648224,0.946,0.0
5504,"Artificial staple fibers, not processed for spinning",603748642,16.64254,0.498,0.0
2101,Coffee extracts,602556132,4.794282,-0.34,0.0
1804,Cocoa butter,601157988,9.214761,-1.175,0.0
1404,Vegetable products n.e.c.,579526571,30.701469,-2.013,-0.0
2915,Saturated acyclic monocarboxylic acids,574188316,3.471121,0.995,0.0
3102,Nitrogenous fertilizers,547618159,1.426171,-1.575,-0.0
8532,Electrical capacitors,546853971,1.620642,0.752,0.0
2008,"Fruits and nuts, otherwise prepared",526242681,2.178937,-1.155,-0.0
2704,Coke,501575848,3.985032,-0.804,0.0
4409,Wood shaped along its edges,499863539,8.919078,-0.948,0.0
0303,"Frozen fish, excluding fillets",487845194,1.853356,-1.347,-0.0
8506,Primary cells and primary batteries,483267236,4.70505,0.798,0.0
1604,Prepared or preserved fish,459370839,2.012145,-1.145,0.0
4805,Other uncoated paper and paperboard,455140853,2.36092,0.09,0.0
4418,Wood carpentry for construction,455125234,2.505527,-0.157,0.0
