rank,product_hs92_code,product_name_short,pci
1,3705,"Photographic film, developed",2.256
2,3705,,2.256
3,9010,,1.949
4,9010,"Apparatus and equipment for photographic laboratories, n.e.c.",1.949
5,8456,,1.916
6,8456,Machines for working materials by laser and similar means,1.916
7,8113,,1.891
8,8113,Cermets,1.891
9,7506,Nickel plates,1.862
10,7506,,1.862
11,3818,,1.821
12,3818,Chemical elements for electronics,1.821
13,2934,,1.794
14,2934,Nucleic acids and their salts,1.794
15,2919,,1.793
16,2919,Phosporic esters,1.793
17,7221,"Bars of stainless steel, hot-rolled",1.725
18,7221,,1.725
19,9012,"Microscopes, other than optical",1.69
20,9012,,1.69
21,5005,,1.668
22,5005,Yarn from silk waste,1.668
23,2850,"Hydrides, nitrides, azides, silicides and borides",1.662
24,2850,,1.662
25,8209,,1.636
26,8209,"Articles for utensils, of cermet",1.636
27,8444,"Machines to extrude, cut manmade textile fibres",1.633
28,8444,,1.633
29,8457,Machining centers for working metal,1.614
30,8457,,1.614
31,9108,,1.597
32,9108,"Watch movements, complete",1.597
33,7505,"Nickel bars, wire etc.",1.591
34,7505,,1.591
35,2908,Derivatives of phenols,1.587
36,2908,,1.587
37,2812,Halides of nonmetals,1.581
38,2812,,1.581
39,8475,,1.579
40,8475,Machines for assembling electric lamps,1.579
41,3707,,1.575
42,3707,Chemical preparations for photographic uses,1.575
43,2935,Sulfonamides,1.569
44,2935,,1.569
45,2910,,1.563
46,2910,Epoxides,1.563
47,4904,"Music, printed or in manuscript",1.557
48,4904,,1.557
49,7111,Platinum clad metals,1.546
50,8542,Electronic integrated circuits,1.532
51,8542,,1.532
52,2911,Acetals and hemiacetals,1.516
53,2911,,1.516
54,8522,Parts and accessories for video or sound equipment,1.513
55,8522,,1.513
56,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,1.509
57,2933,,1.509
58,7220,,1.505
59,7220,Flat-rolled products of stainless steel of a width < 600 mm,1.505
60,2926,Nitrile-function compounds,1.5
61,2926,,1.5
62,6909,Ceramic wares for technical ware,1.498
63,6909,,1.498
64,3914,Ion-exchangers based on polymers,1.493
65,3914,,1.493
66,2937,Hormones,1.487
67,2937,,1.487
68,8102,Molybdenum,1.48
69,8102,,1.48
70,8449,Machinery to manufacture felt,1.453
71,8449,,1.453
72,8103,,1.451
73,8103,Tantalum,1.451
74,2848,Phosphides,1.449
75,2848,,1.449
76,2838,,1.433
77,2838,"Fulminates, cyanates and thiocyanates",1.433
78,8548,,1.414
79,8548,Waste and scrap of batteries,1.414
80,2851,,1.413
81,2851,"Inorganic compounds, liquid or compressed air",1.413
82,8104,Magnesium,1.411
83,8104,,1.411
84,7002,,1.409
85,7002,Glass balls,1.409
86,7507,Nickel tubes and pipes,1.402
87,7507,,1.402
88,3702,Photographic film in rolls,1.39
89,3702,,1.39
90,7225,"Flat-rolled products of other alloy steel, width > 600 mm",1.366
91,7225,,1.366
92,5113,Woven fabrics of coarse animal hair,1.362
93,5113,,1.362
94,7219,Flat-rolled products of stainless steel of a width > 600 mm,1.347
95,7219,,1.347
96,2913,Derivatives of aldehydes,1.346
97,2921,Amine-function compounds,1.343
98,2921,,1.343
99,8505,Electromagnets,1.337
100,8505,,1.337
101,2928,Organix derivatives of hydrazine,1.336
102,2928,,1.336
103,7226,"Flat-rolled products of other alloy steel, width < 600 mm",1.33
104,7226,,1.33
105,8524,"Tapes, cassettes, records and compact disks",1.328
106,8524,,1.328
107,2941,Antibiotics,1.325
108,2941,,1.325
109,8439,,1.323
110,8439,Machinery for making paper,1.323
111,9011,,1.322
112,9011,Optical microscopes,1.322
113,8461,,1.311
114,8461,Other machine tools for planing and cutting metals,1.311
115,8466,Parts and accessories for metal working machines,1.308
116,8466,,1.308
117,2914,,1.286
118,2914,Ketones and quinones,1.286
119,9110,,1.285
120,9110,"Clock movements, complete, unassembled",1.285
121,3908,Polyamides,1.283
122,3908,,1.283
123,8446,Looms,1.278
124,8446,,1.278
125,8534,,1.267
126,8534,Electronic printed circuits,1.267
127,8530,,1.264
128,8530,Electric signal and traffic controls,1.264
129,8540,"Thermionic, cold cathode or photocathode tubes",1.258
130,8540,,1.258
131,9013,Liquid crystal devices,1.251
132,9013,,1.251
133,9029,Meters,1.249
134,9029,,1.249
135,2843,Compounds of precious metals,1.241
136,2843,,1.241
137,2924,Carboxyamide-function compounds,1.237
138,3701,Photographic plates,1.237
139,8460,Machines with grinding stones for finishing metal,1.237
140,3701,,1.237
141,8460,,1.237
142,2924,,1.237
143,8510,Electric shavers and hair clippers,1.229
144,8510,,1.229
145,7508,Other articles of nickel,1.225
146,7508,,1.225
147,2927,"Diazo-, azo-, or azoxy-compounds",1.224
148,2927,,1.224
149,7223,Wire of stainless steel,1.217
150,7223,,1.217
151,8476,Automatic goods-vending machines,1.212
152,8476,,1.212
153,3703,,1.211
154,3703,Photographic paper,1.211
155,3002,,1.209
156,3002,Serums and vaccines,1.209
157,8458,Lathes for removing metal,1.209
158,8458,,1.209
159,9002,,1.202
160,9002,Lenses and other optical elements,1.202
161,9016,Balances of a sensitivity < 50 milligram,1.197
162,9016,,1.197
163,9027,Instruments for physical or chemical analysis,1.195
164,9027,,1.195
165,8508,,1.192
166,8508,Vacuum cleaners,1.192
167,8401,,1.192
168,8401,Nuclear reactors and related equipment,1.192
169,2931,,1.187
170,2931,Other organo-inorganic compounds,1.187
171,2920,,1.186
172,2920,Esters of other inorganic acids of nonmetals,1.186
173,5910,"Transmission belts or belting, of textile material",1.181
174,5910,,1.181
175,8202,,1.18
176,8202,Handsaws,1.18
177,3910,Silicones in primary forms,1.179
178,3910,,1.179
179,7014,,1.177
180,7014,Signaling glassware,1.177
181,2932,Heterocyclic compounds with oxygen hetero-atom(s) only,1.173
182,2932,,1.173
183,3822,Diagnostic or laboratory reagents,1.166
184,3822,,1.166
185,8532,,1.164
186,8532,Electrical capacitors,1.164
187,8473,,1.163
188,8473,Parts and accessories for office machines,1.163
189,8605,"Railway coaches, not self-propelled",1.159
190,9022,,1.155
191,8427,,1.155
192,8427,Fork-lift trucks,1.155
