product_hs92_code,product_name_short,product_name,pci,density,effort,efficiency,cog,strategic_score,export_value,import_value
2841,Salts of oxometallic acids,Salts of oxometallic or peroxometallic acids,3.472,0.136,0.864,4.013872832369942,0.002,0.7452801659433936,3165852,21926055
7006,Worked glass,"Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enameled or otherwise worked, but not framed or fitted with other materials:",2.398,0.17700000000000005,0.823,2.9101941747572817,0.979,0.6750696274143722,379951,5571682
3705,"Photographic film, developed","Photographic plates and film, exposed and developed, other than motion-picture film",2.826,0.11099999999999999,0.889,3.1752808988764043,0.956,0.6222604076823735,164935,378543
8479,Machines n.e.c.,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof",2.244,0.14,0.86,2.6062717770034847,1.429,0.5953638123560412,83598720,1405925413
8444,"Machines to extrude, cut manmade textile fibres","Machines to extrude, draw, cut manmade textile fibres",2.473,0.126,0.874,2.826285714285714,1.111,0.5927781532536913,241759,8697034
3707,Chemical preparations for photographic uses,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use",2.441,0.136,0.864,2.821965317919075,0.804,0.5877011941768,586199,13398156
7506,Nickel plates,"Nickel plates, sheets, strip and foil",2.565,0.10999999999999999,0.89,2.878787878787879,1.183,0.5826570807617892,19518,11382518
9110,"Clock movements, complete, unassembled","Complete watch or clock movements, unassembled or partly assembled (movement sets); incomplete watch or clock movements, assembled; rough watch or clock movements",1.926,0.17900000000000005,0.821,2.343065693430657,0.74,0.5662157842697432,4383,97443
7221,"Bars of stainless steel, hot-rolled","Bars and rods, stainless steel, hot-rolled, irreg coils",2.13,0.136,0.864,2.4624277456647397,1.225,0.5514092044706711,387332,25528209
3818,Chemical elements for electronics,Chemical element/compound wafers doped for electronic,1.865,0.16400000000000003,0.836,2.228195937873357,1.155,0.5494573360018236,31138522,5914412
2919,Phosporic esters,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulfonated, nitrated or nitrosated derivatives",2.042,0.14300000000000002,0.857,2.37995337995338,1.221,0.5475047423167542,112207,10070385
8475,Machines for assembling electric lamps,"Machines for assembling electric or electronic lamps, tubes or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware; parts thereof",1.859,0.15500000000000003,0.845,2.1973995271867612,1.349,0.5423949408962943,358141,18509337
8456,Machines for working materials by laser and similar means,"Machine tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron-beam, ionic-beam or plasma arc processes",2.073,0.133,0.867,2.3882488479262673,1.335,0.5407760178628123,540625,48487278
