product_hs92_code,product_name_short,product_name,export_rca,density,distance,pci,cog,export_value,import_value,strategic_zone
9209,Parts of musical instruments,"Parts (for example, mechanisms for music boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds",3.139929,0.17600000000000005,0.824,0.982,0.0,54702671,101829263,Diversify Applications
4801,Newsprint,Newsprint,1.013348,0.17700000000000005,0.823,1.146,0.0,85930363,19266073,Diversify Applications
2925,Carboxyimide-function compounds,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,0.98491,0.14600000000000002,0.854,1.017,1.245,24824393,17773586,Leveraged Strategic Bets
8407,Spark-ignition reciprocating internal combustion piston engines,Spark-ignition reciprocating or rotary internal combustion piston engines,0.971287,0.14600000000000002,0.854,0.778,1.085,615275468,273866570,Leveraged Strategic Bets
2707,Oils etc. from high temperature coal tar,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents,0.970715,0.17600000000000005,0.824,0.562,0.87,353470687,110981472,Leveraged Strategic Bets
8476,Automatic goods-vending machines,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines; parts thereof",0.951322,0.14800000000000002,0.852,1.014,1.141,20873546,3322464,Leveraged Strategic Bets
2916,Unsaturated acyclic monocarboxylic acids,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",0.947,0.16900000000000004,0.831,0.874,1.295,98110806,183748028,Leveraged Strategic Bets
5408,Woven fabrics of artificial filament yarn,"Woven fabrics of artificial filament yarn, including woven fabrics obtained from materials of heading 5405",0.940263,0.16900000000000004,0.831,0.471,0.865,14288493,25207317,Leveraged Strategic Bets
7016,Glass paving blocks or other molded products,"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or molded glass, whether or not wired, of a kind used for building or construction purposes; glass cubes and other glass smallwares, whether or not on a backing, for mosaics or sim",0.939522,0.15400000000000003,0.846,0.333,0.709,12971911,14178527,Leveraged Strategic Bets
9206,"Musical instruments, percussion","Percussion musical instruments (for example, drums, xylophones,cymbals, castanets, maracas):",0.924826,0.17600000000000005,0.824,-0.146,0.584,5987685,3070925,Leveraged Strategic Bets
9107,Time switches,Time switches with clock or watch movement or with synchronous motor:,0.897776,0.14200000000000002,0.858,1.43,0.99,4598817,5332946,Leveraged Strategic Bets
2912,Aldehydes,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",0.887365,0.15500000000000003,0.845,1.698,1.43,24208426,47541911,Leveraged Strategic Bets
3202,Synthetic tanning substances,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning",0.865897,0.16400000000000003,0.836,-0.361,0.592,5522144,7303787,Leveraged Strategic Bets
7304,"Tubes, seamless, of iron or steel","Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",0.863238,0.17700000000000005,0.823,0.038,0.662,319264767,741036959,Leveraged Strategic Bets
5906,Rubberized textile fabrics,"Rubberized textile fabrics, other than those of heading 5902",0.857226,0.14200000000000002,0.858,1.22,1.201,16870230,21433593,Leveraged Strategic Bets
4810,"Paper and paperboard, coated with kaolin","Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-colored, surface-decorated or printed, in rolls or rectangular (including",0.851195,0.15200000000000002,0.848,0.647,1.032,244578473,234381879,Leveraged Strategic Bets
8907,Other floating structures,"Other floating structures (for example, rafts, tanks, cofferdams, landing-stages,buoys and beacons)",0.819084,0.17500000000000004,0.825,-0.123,0.621,12494946,70531325,Leveraged Strategic Bets
3823,Industrial monocarboxylic fatty acids,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols,0.813309,0.16800000000000004,0.832,-0.222,0.759,827813151,607266800,Leveraged Strategic Bets
7301,Sheet piling of iron or steel,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",0.810268,0.17900000000000005,0.821,-0.154,0.506,17686063,17344244,Leveraged Strategic Bets
4010,Conveyor belts of vulcanized rubber,"Conveyor or transmission belts or belting, of vulcanized rubber",0.795104,0.16400000000000003,0.836,0.987,1.105,63283377,100301483,Leveraged Strategic Bets
7208,"Flat-rolled iron, width > 600mm, hot-rolled, not clad","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",0.793315,0.18000000000000005,0.82,0.492,0.687,639941862,1441364902,Leveraged Strategic Bets
4405,Wood wool or flour,Wood wool (excelsior); wood flour,0.762284,0.16900000000000004,0.831,0.032,0.003,744703,4247848,Leveraged Strategic Bets
7223,Wire of stainless steel,Wire of stainless steel:,0.751702,0.14900000000000002,0.851,1.328,1.338,21691810,38067968,Leveraged Strategic Bets
7806,Other articles of lead,Other articles of lead,0.744705,0.16900000000000004,0.831,-0.009,0.536,3073968,2432947,Leveraged Strategic Bets
2940,"Other sugars, chemically pure","Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 2937, 2938 or 2939:",0.743585,0.14100000000000001,0.859,1.334,1.351,13539139,9431894,Leveraged Strategic Bets
3207,Prepared pigments,"Prepared pigments, prepared opacifiers and prepared colors, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of p",0.705678,0.16100000000000003,0.839,0.183,0.571,40812059,66382927,Leveraged Strategic Bets
9028,"Gas, liquid or electricity meters","Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof",0.700731,0.16800000000000004,0.832,0.605,0.806,83330607,108960179,Leveraged Strategic Bets
5006,"Silk yarn, for retail sale","Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut:",0.698234,0.18000000000000005,0.82,-0.067,0.003,94633,22527,Leveraged Strategic Bets
4108,Chamois leather,Chamois (including combination chamois) leather,0.696036,0.17600000000000005,0.824,-0.319,0.002,1029599,1009022,Leveraged Strategic Bets
2507,Kaolin,"Kaolin and other kaolinic clays, whether or not calcined",0.690358,0.17100000000000004,0.829,0.001,0.522,12967377,25390393,Leveraged Strategic Bets
7229,Wire of other alloy steel,Wire of other alloy steel,0.661346,0.16900000000000004,0.831,1.13,1.068,21559300,78446740,Leveraged Strategic Bets
8429,"Self-propelled bulldozers, excavators and road rollers","Self-propelled bulldozers, angledozers, graders, levelers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers",0.647551,0.16200000000000003,0.838,0.193,0.908,527129136,1746030885,Leveraged Strategic Bets
4005,Compounded rubber,"Compounded rubber, unvulcanized, in primary forms or in plates, sheets or strip",0.635024,0.14700000000000002,0.853,1.153,1.12,50851305,32697025,Leveraged Strategic Bets
8512,Electrical lighting equipment used for motor vehicles,"Electrical lighting or signaling equipment (excluding articles of heading8539), windshield wipers, defrosters and demisters, of a kind used for cycles or motor vehicles;parts thereof",0.622601,0.16700000000000004,0.833,0.84,0.994,263371443,293374330,Leveraged Strategic Bets
