product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
7318,Screws and similar articles of iron or steel,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel",0.254197,0.135,1.883,1.594,129575321,2.174364896073903
7014,Signaling glassware,"Signaling glassware and optical elements of glass (other than those of heading 7015), not optically worked:",0.404269,0.139,1.843,1.201,2994161,2.1380510440835265
3908,Polyamides,Polyamides in primary forms,0.224031,0.14300000000000002,1.786,1.419,37540512,2.081585081585082
7220,Flat-rolled products of stainless steel of a width < 600 mm,"Flat-rolled products of stainless steel, of a width of less than 600 mm",0.261312,0.15300000000000002,1.708,1.423,16781141,2.0141509433962264
2912,Aldehydes,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",0.887365,0.15500000000000003,1.698,1.43,24208426,2.00709219858156
9027,Instruments for physical or chemical analysis,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters,refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or",0.215563,0.125,1.744,1.512,135953758,1.9908675799086757
8483,Transmission shafts,"Transmission shafts (including camshafts and crankshafts) and cranks; bearing housings, housed bearings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pul",0.218869,0.14100000000000001,1.621,1.422,173961663,1.8848837209302325
9010,"Apparatus and equipment for photographic laboratories, n.e.c.","Apparatus and equipment for photographic (including cinematographic)laboratories, not specified or included elsewhere in this chapter; negatoscopes; projection screens; parts and accessories thereof",0.228105,0.139,1.621,1.141,2018208,1.8805104408352669
2920,Esters of other inorganic acids of nonmetals,"Esters of other inorganic acids of nonmetals (excluding esters of hydrogen halides) and their salts; their halogenated, sulfonated, nitrated or nitrosated derivatives",0.266192,0.15200000000000002,1.568,1.417,4954307,1.8468786808009423
8202,Handsaws,"Handsaws, and metal parts thereof; blades for saws of all kinds (including slitting, slotting or toothless saw blades), and base metal parts thereof",0.302897,0.14600000000000002,1.558,1.145,17995673,1.8222222222222224
3906,Acrylic polymers,Acrylic polymers in primary forms,0.455599,0.14800000000000002,1.542,1.314,92935555,1.8077373974208677
8208,Knives and blades for machines,"Knives and cutting blades, for machines or for mechanical appliances,and base metal parts thereof",0.240317,0.128,1.572,1.535,10001647,1.8006872852233677
8101,Tungsten (wolfram),"Tungsten (wolfram) and articles thereof, including waste and scrap",0.222694,0.15200000000000002,1.467,1.27,3314320,1.7279151943462898
9107,Time switches,Time switches with clock or watch movement or with synchronous motor:,0.897776,0.14200000000000002,1.43,0.99,4598817,1.6647264260768335
8482,Ball or roller bearings,"Ball or roller bearings, and parts thereof",0.351787,0.16500000000000004,1.373,1.236,137635107,1.6423444976076556
