product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
8473,Parts and accessories for office machines,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 8469 to 8472",0.625692,0.18799999999999994,1.423,0.941,1458804516,1.7503075030750306
8525,"Transmission apparatus for radio, telephone and TV","Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders",0.41284,0.18200000000000005,1.042,0.76,2661139477,1.2722832722832724
8527,Reception apparatus for radio broadcasting,"Reception apparatus for radio broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock",0.670107,0.19499999999999995,0.952,0.82,87645877,1.1811414392059552
2917,Polycarboxylic acids,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",0.719654,0.18600000000000005,0.919,0.765,127210547,1.1276073619631903
4007,Vulcanized rubber thread and cord,Vulcanized rubber thread and cord,0.509419,0.22499999999999998,0.839,0.382,3805886,1.0811855670103092
8529,"Parts of radios, telephones, and T.V.s",Parts suitable for use solely or principally with the apparatus of headings8525 to 8528,0.331841,0.20799999999999996,0.824,0.678,218072982,1.039092055485498
8531,Electric sound or visual signaling apparatus,"Electric sound or visual signaling apparatus (for example,bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 8512 or 8530;parts thereof",0.388976,0.18200000000000005,0.756,0.895,89415921,0.9230769230769231
8518,Microphones,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones,whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric ampli",0.392398,0.18600000000000005,0.722,0.804,226640545,0.8858895705521472
8470,"Cash registers, calculators, etc.","Calculating machines and pocket-size data recording, reproducing and displaying machines with calculating functions; accounting machines, postage-franking machines, ticket-issuing machines and similar machines, incorporating a calculating device; cash registers",0.371459,0.19399999999999995,0.673,0.541,26763598,0.8339529120198265
8516,Electric heaters,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electrothermic hairdressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; elect",0.477941,0.18899999999999995,0.67,0.619,364022576,0.8251231527093597
8541,Semiconductor devices,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals; parts thereof",0.219381,0.21499999999999997,0.56,0.685,364161693,0.712468193384224
8509,Electromechanical domestic appliances,"Electromechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 8508; parts thereof",0.395922,0.18799999999999994,0.526,0.909,147869296,0.6469864698646987
9506,Sports equipment,"Articles and equipment for general physical exercise,gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this chapter; swimming pools and wading pools; parts and accessories thereof",0.276173,0.18899999999999995,0.518,0.739,101645471,0.6379310344827586
3809,Finishing agents,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included",0.83972,0.18700000000000006,0.473,0.699,42315897,0.5810810810810811
8311,Wire etc. used for welding,"Wire, rods, tubes, plates, electrodes and similar products of base metal or of metal carbides,coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of agglomerated ba",0.271893,0.18700000000000006,0.429,0.769,11984940,0.5270270270270271
