product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
8542,Electronic integrated circuits,Electronic integrated circuits; parts thereof,0.105618,0.19499999999999995,1.491,0.958,764858390,1.849875930521092
9617,Vacuum vessels,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners:",0.015241,0.18899999999999995,1.002,0.001,923184,1.2339901477832511
8471,Computers,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",0.073433,0.18700000000000006,0.991,0.769,243659875,1.2174447174447176
9114,Other clock or watch parts,Other clock or watch parts,0.01036,0.18700000000000006,0.928,0.953,184681,1.1400491400491402
8534,Electronic printed circuits,Electronic printed circuits,0.166497,0.20299999999999996,0.882,0.839,75510917,1.1052631578947367
9111,Watch cases and parts,Watch cases and parts thereof,0.001963,0.18600000000000005,0.865,0.685,20204,1.0613496932515338
8517,Telephones,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data,including apparatus for communication in a wired or wireless network (such as a loc",0.120801,0.18999999999999995,0.789,0.654,89027206,0.9728729963008631
7020,Other articles of glass,Other articles of glass:,0.053195,0.18400000000000005,0.721,0.842,2210542,0.8824969400244799
7319,Articles for sewing of iron or steel,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included",0.089336,0.20099999999999996,0.702,0.838,381787,0.8775
7410,Copper foil < 0.15 mm thick,"Copper foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness(excluding any backing) not exceeding 0.15 mm",0.004628,0.19299999999999995,0.679,0.761,297523,0.8403465346534653
2902,Cyclic hydrocarbons,Cyclic hydrocarbons,0.138607,0.18300000000000005,0.676,0.846,59402051,0.8264058679706603
4903,Children's books,"Children's picture, drawing or coloring books",0.040787,0.18400000000000005,0.625,0.692,523751,0.7649938800489596
7015,Clock or watch glasses and similar glasses,"Clock or watch glasses and similar glasses, glasses for noncorrective or corrective spectacles, curved, bent, hollowed or the like, not optically worked; hollow glass spheres and their segments, for the manufacture of such glasses",0.0081,0.18400000000000005,0.576,0.003,16180,0.7050183598531211
8548,Waste and scrap of batteries,"Waste and scrap of primary cells, primary batteries and electric storage batteries; spent primary cells, spent primary batteries and spent electric storage batteries; electrical parts of machinery or apparatus, not specified or included elsewhere in this",0.033564,0.18899999999999995,0.505,0.703,1674883,0.6219211822660098
