product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
9205,"Musical instruments, wind","Wind musical instruments (for example, clarinets, trumpets, bagpipes)",6.140079,0.18400000000000005,1.853,0.0,64600384,2.2680538555691556
0410,"Edible animal products, n.e.c.","Edible products of animal origin, not elsewhere specified or included",49.648224,0.5429999999999999,0.946,0.0,621198414,2.065502183406113
6909,Ceramic wares for technical ware,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods",1.164218,0.18400000000000005,1.633,0.0,100499211,1.9987760097919218
8543,Electrical machines with individual functions n.e.c.,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter; parts thereof",2.393802,0.20699999999999996,1.43,0.0,1811665621,1.8010075566750627
2927,"Diazo-, azo-, or azoxy-compounds","Diazo-, azo- or azoxy-compounds",9.097953,0.244,1.197,0.0,67812749,1.5812417437252313
4806,Transparent paper,"Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets",1.259443,0.19099999999999995,1.257,0.0,31270995,1.5518518518518516
8533,Electrical resistors,"Electrical resistors (including rheostats and potentiometers), other than heating resistors; parts thereof",1.213097,0.18600000000000005,1.235,0.0,137993468,1.5153374233128836
7218,Stainless steel in ingots,Stainless steel in ingots or other primary forms; semi- finished products of stainless steel,43.720562,0.20199999999999996,1.205,0.0,2665189148,1.5081351689612015
3812,Stabilizers for rubber or plastic,"Prepared rubber accelerators; compound plasticizers for rubber or plastics, not elsewhere specified or included; antioxidizing preparations and other compound stabilizers for rubber or plastics",1.580236,0.19899999999999995,1.204,0.0,90495671,1.5012468827930172
2903,Halogenated derivatives of hydrocarbons,Halogenated derivatives of hydrocarbons,1.210834,0.19799999999999995,1.107,0.0,153368082,1.3785803237858032
7219,Flat-rolled products of stainless steel of a width > 600 mm,"Flat-rolled products of stainless steel, of a width of 600 mm or more",13.879287,0.19899999999999995,1.013,0.0,5312625637,1.263092269326683
2915,Saturated acyclic monocarboxylic acids,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",3.471121,0.21099999999999997,0.995,0.0,574188316,1.2594936708860758
3904,Polymers of vinyl chloride,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",1.431815,0.19199999999999995,0.984,0.0,355956547,1.2163164400494437
7320,Springs of iron or steel,"Springs and leaves for springs, of iron or steel",1.158393,0.18400000000000005,0.928,0.0,106973192,1.1358629130966953
5403,Artificial filament yarn,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex",2.013713,0.19399999999999995,0.915,0.0,35834286,1.1338289962825279
9207,"Musical instruments, electric","Musical instruments, the sound of which is produced, or must be amplified,electrically (for example, organs, guitars, accordions)",11.15054,0.20399999999999996,0.884,0.0,359776865,1.109159347553325
8510,Electric shavers and hair clippers,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor; parts thereof",5.171388,0.20599999999999996,0.848,0.0,311500106,1.0666666666666667
