,HS Code,Product Name,PCI,Density,COG,Distance,Score
1,9010,"Apparatus and equipment for photographic laboratories, n.e.c.",1.949,0.18200000000000005,0.366,0.818,0.3547180000000001
2,3818,Chemical elements for electronics,1.821,0.18200000000000005,0.407,0.818,0.3314220000000001
3,8456,Machines for working materials by laser and similar means,1.916,0.16500000000000004,0.427,0.835,0.31614000000000003
4,8542,Electronic integrated circuits,1.532,0.19499999999999995,0.376,0.805,0.29873999999999995
5,5005,Yarn from silk waste,1.668,0.17600000000000005,0.0,0.824,0.29356800000000005
6,8548,Waste and scrap of batteries,1.414,0.19799999999999995,0.372,0.802,0.27997199999999994
7,8534,Electronic printed circuits,1.267,0.21599999999999997,0.335,0.784,0.2736719999999999
8,3705,"Photographic film, developed",2.256,0.121,0.333,0.879,0.27297599999999994
9,2919,Phosporic esters,1.793,0.15000000000000002,0.394,0.85,0.26895
10,2934,Nucleic acids and their salts,1.794,0.14600000000000002,0.349,0.854,0.26192400000000005
